text,label
System maintenance is planned for December 13 from 12:00.,0
Your PayPal account has been limited due to suspicious activity. Verify your identity now.,1
Project Project Y deadline has been extended to December 11.,0
URGENT: Your Netflix account will be suspended in 32 hours. Click here to verify immediately!,1
Thank you for your purchase. Your receipt is attached for order #ORD-2122.,0
"Congratulations! You've won $47,754 in our International Mega Lottery lottery. Claim now before it expires!",1
Your subscription expires today. Renew now to avoid service interruption.,1
Your subscription expires today. Renew now to avoid service interruption.,1
Project Project E deadline has been extended to December 20.,0
New company policy regarding Security has been updated.,0
Training session on Benefits is scheduled for December 12.,0
System maintenance is planned for December 25 from 15:00.,0
You have 7 unread secure messages. Login to view them immediately.,1
"WINNER ALERT: You've been selected for $28,188 prize. Claim within 23 hours!",1
Holiday schedule for January has been announced.,0
SECURITY ALERT: Suspicious login detected on your Amazon account from China.,1
"Congratulations! You've won $39,427 in our International Mega Lottery lottery. Claim now before it expires!",1
Project Project Y deadline has been extended to December 13.,0
"WINNER ALERT: You've been selected for $9,642 prize. Claim within 5 hours!",1
Your Facebook payment failed. Update your billing information within 16 hours.,1
Quarterly performance review meetings will be scheduled next month.,0
Your order #ORD-2951 has been shipped and will arrive within 5 business days.,0
Training session on Remote Work is scheduled for December 10.,0
SECURITY ALERT: Suspicious login detected on your Facebook account from China.,1
New company policy regarding Security has been updated.,0
System maintenance is planned for December 21 from 11:00.,0
Holiday schedule for January has been announced.,0
Your order #ORD-1951 has been shipped and will arrive within 3 business days.,0
Thank you for your purchase. Your receipt is attached for order #ORD-1502.,0
New company policy regarding Remote Work has been updated.,0
You have 6 unread secure messages. Login to view them immediately.,1
You have 5 unread secure messages. Login to view them immediately.,1
Weekly team standup meeting is scheduled for Thursday at 15:00.,0
Your PayPal account has been limited due to suspicious activity. Verify your identity now.,1
URGENT: Your PayPal account will be suspended in 11 hours. Click here to verify immediately!,1
Quarterly performance review meetings will be scheduled next month.,0
"IRS Tax Refund: You are eligible for $48,057 refund. Download form to claim.",1
Your Apple payment failed. Update your billing information within 30 hours.,1
Your subscription expires today. Renew now to avoid service interruption.,1
You have 1 unread secure messages. Login to view them immediately.,1
"WINNER ALERT: You've been selected for $13,779 prize. Claim within 17 hours!",1
URGENT: Your PayPal account will be suspended in 17 hours. Click here to verify immediately!,1
Weekly team standup meeting is scheduled for Thursday at 15:00.,0
Training session on Security is scheduled for December 14.,0
FINAL NOTICE: Your Netflix account will be deleted in 45 hours unless you act now.,1
"IRS Tax Refund: You are eligible for $21,608 refund. Download form to claim.",1
SECURITY ALERT: Suspicious login detected on your Apple account from Unknown Location.,1
System maintenance is planned for December 15 from 13:00.,0
SECURITY ALERT: Suspicious login detected on your Facebook account from China.,1
Your Microsoft account has been limited due to suspicious activity. Verify your identity now.,1
Your Bank payment failed. Update your billing information within 38 hours.,1
SECURITY ALERT: Suspicious login detected on your Facebook account from China.,1
Project Project Y deadline has been extended to December 2.,0
Your Facebook payment failed. Update your billing information within 6 hours.,1
"Congratulations! You've won $16,784 in our International Mega Lottery lottery. Claim now before it expires!",1
Thank you for your purchase. Your receipt is attached for order #ORD-2212.,0
FINAL NOTICE: Your Google account will be deleted in 23 hours unless you act now.,1
Training session on Benefits is scheduled for December 16.,0
FINAL NOTICE: Your Google account will be deleted in 29 hours unless you act now.,1
Your subscription expires today. Renew now to avoid service interruption.,1
You have 8 unread secure messages. Login to view them immediately.,1
Weekly team standup meeting is scheduled for Thursday at 10:00.,0
New company policy regarding Benefits has been updated.,0
Your Google account has been limited due to suspicious activity. Verify your identity now.,1
Weekly team standup meeting is scheduled for Thursday at 16:00.,0
FINAL NOTICE: Your PayPal account will be deleted in 30 hours unless you act now.,1
"Congratulations! You've won $7,572 in our International Mega Lottery lottery. Claim now before it expires!",1
Holiday schedule for March has been announced.,0
Your subscription expires today. Renew now to avoid service interruption.,1
Project Project C deadline has been extended to December 20.,0
Meeting scheduled for December 1 at 15:00 in Conference Room M. Please bring your reports.,0
Holiday schedule for January has been announced.,0
System maintenance is planned for December 21 from 13:00.,0
"WINNER ALERT: You've been selected for $16,035 prize. Claim within 47 hours!",1
Your Facebook payment failed. Update your billing information within 21 hours.,1
URGENT: Your Microsoft account will be suspended in 30 hours. Click here to verify immediately!,1
System maintenance is planned for December 8 from 16:00.,0
Your Facebook payment failed. Update your billing information within 24 hours.,1
"IRS Tax Refund: You are eligible for $28,824 refund. Download form to claim.",1
Your Apple payment failed. Update your billing information within 2 hours.,1
Holiday schedule for March has been announced.,0
Your Amazon payment failed. Update your billing information within 11 hours.,1
Your order #ORD-1901 has been shipped and will arrive within 5 business days.,0
SECURITY ALERT: Suspicious login detected on your Bank account from Unknown Location.,1
"WINNER ALERT: You've been selected for $29,158 prize. Claim within 17 hours!",1
Project Project G deadline has been extended to December 11.,0
URGENT: Your PayPal account will be suspended in 10 hours. Click here to verify immediately!,1
Meeting scheduled for December 19 at 15:00 in Conference Room A. Please bring your reports.,0
System maintenance is planned for December 24 from 11:00.,0
Weekly team standup meeting is scheduled for Thursday at 13:00.,0
New company policy regarding Remote Work has been updated.,0
URGENT: Your Netflix account will be suspended in 13 hours. Click here to verify immediately!,1
Training session on Benefits is scheduled for December 13.,0
Quarterly performance review meetings will be scheduled next month.,0
"IRS Tax Refund: You are eligible for $16,140 refund. Download form to claim.",1
SECURITY ALERT: Suspicious login detected on your Facebook account from China.,1
Thank you for your purchase. Your receipt is attached for order #ORD-1532.,0
Project Project W deadline has been extended to December 22.,0
"Congratulations! You've won $43,954 in our International Mega Lottery lottery. Claim now before it expires!",1
Quarterly performance review meetings will be scheduled next month.,0
System maintenance is planned for December 26 from 15:00.,0
Your order #ORD-2941 has been shipped and will arrive within 4 business days.,0
URGENT: Your Google account will be suspended in 2 hours. Click here to verify immediately!,1
"Congratulations! You've won $37,807 in our International Mega Lottery lottery. Claim now before it expires!",1
SECURITY ALERT: Suspicious login detected on your Amazon account from China.,1
Weekly team standup meeting is scheduled for Thursday at 15:00.,0
Your Apple payment failed. Update your billing information within 6 hours.,1
You have 6 unread secure messages. Login to view them immediately.,1
SECURITY ALERT: Suspicious login detected on your Apple account from Unknown Location.,1
"WINNER ALERT: You've been selected for $14,602 prize. Claim within 9 hours!",1
Training session on Security is scheduled for December 11.,0
New company policy regarding Remote Work has been updated.,0
Holiday schedule for January has been announced.,0
"Congratulations! You've won $32,338 in our International Mega Lottery lottery. Claim now before it expires!",1
SECURITY ALERT: Suspicious login detected on your Facebook account from China.,1
Holiday schedule for March has been announced.,0
Your Netflix account has been limited due to suspicious activity. Verify your identity now.,1
System maintenance is planned for December 26 from 15:00.,0
Training session on Security is scheduled for December 9.,0
Your Apple payment failed. Update your billing information within 10 hours.,1
Your order #ORD-1601 has been shipped and will arrive within 6 business days.,0
URGENT: Your Microsoft account will be suspended in 10 hours. Click here to verify immediately!,1
Your PayPal account has been limited due to suspicious activity. Verify your identity now.,1
FINAL NOTICE: Your Netflix account will be deleted in 34 hours unless you act now.,1
System maintenance is planned for December 4 from 16:00.,0
"WINNER ALERT: You've been selected for $30,093 prize. Claim within 42 hours!",1
URGENT: Your Google account will be suspended in 7 hours. Click here to verify immediately!,1
Holiday schedule for February has been announced.,0
FINAL NOTICE: Your Google account will be deleted in 13 hours unless you act now.,1
System maintenance is planned for December 1 from 13:00.,0
"IRS Tax Refund: You are eligible for $19,803 refund. Download form to claim.",1
New company policy regarding Remote Work has been updated.,0
"IRS Tax Refund: You are eligible for $39,142 refund. Download form to claim.",1
New company policy regarding Remote Work has been updated.,0
Quarterly performance review meetings will be scheduled next month.,0
"Congratulations! You've won $36,370 in our International Mega Lottery lottery. Claim now before it expires!",1
URGENT: Your Microsoft account will be suspended in 7 hours. Click here to verify immediately!,1
SECURITY ALERT: Suspicious login detected on your Bank account from Unknown Location.,1
New company policy regarding Benefits has been updated.,0
Weekly team standup meeting is scheduled for Thursday at 10:00.,0
FINAL NOTICE: Your Netflix account will be deleted in 35 hours unless you act now.,1
Your subscription expires today. Renew now to avoid service interruption.,1
Meeting scheduled for December 16 at 9:00 in Conference Room M. Please bring your reports.,0
SECURITY ALERT: Suspicious login detected on your Apple account from Unknown Location.,1
Meeting scheduled for December 2 at 10:00 in Conference Room G. Please bring your reports.,0
Quarterly performance review meetings will be scheduled next month.,0
Meeting scheduled for December 3 at 10:00 in Conference Room E. Please bring your reports.,0
SECURITY ALERT: Suspicious login detected on your Facebook account from China.,1
"IRS Tax Refund: You are eligible for $31,755 refund. Download form to claim.",1
You have 6 unread secure messages. Login to view them immediately.,1
Project Project I deadline has been extended to December 23.,0
Project Project C deadline has been extended to December 20.,0
You have 9 unread secure messages. Login to view them immediately.,1
Your order #ORD-1351 has been shipped and will arrive within 3 business days.,0
FINAL NOTICE: Your PayPal account will be deleted in 36 hours unless you act now.,1
URGENT: Your Microsoft account will be suspended in 35 hours. Click here to verify immediately!,1
Your PayPal account has been limited due to suspicious activity. Verify your identity now.,1
Weekly team standup meeting is scheduled for Thursday at 15:00.,0
Your Bank payment failed. Update your billing information within 17 hours.,1
Quarterly performance review meetings will be scheduled next month.,0
URGENT: Your Netflix account will be suspended in 3 hours. Click here to verify immediately!,1
Your PayPal account has been limited due to suspicious activity. Verify your identity now.,1
"IRS Tax Refund: You are eligible for $29,274 refund. Download form to claim.",1
Quarterly performance review meetings will be scheduled next month.,0
Your subscription expires today. Renew now to avoid service interruption.,1
SECURITY ALERT: Suspicious login detected on your Amazon account from China.,1
"Congratulations! You've won $14,408 in our International Mega Lottery lottery. Claim now before it expires!",1
Holiday schedule for February has been announced.,0
"WINNER ALERT: You've been selected for $12,796 prize. Claim within 10 hours!",1
Thank you for your purchase. Your receipt is attached for order #ORD-1912.,0
"WINNER ALERT: You've been selected for $31,191 prize. Claim within 4 hours!",1
Thank you for your purchase. Your receipt is attached for order #ORD-1002.,0
URGENT: Your PayPal account will be suspended in 44 hours. Click here to verify immediately!,1
Quarterly performance review meetings will be scheduled next month.,0
Training session on Benefits is scheduled for December 12.,0
Quarterly performance review meetings will be scheduled next month.,0
"WINNER ALERT: You've been selected for $47,286 prize. Claim within 22 hours!",1
Project Project I deadline has been extended to December 11.,0
FINAL NOTICE: Your Google account will be deleted in 41 hours unless you act now.,1
You have 5 unread secure messages. Login to view them immediately.,1
Your subscription expires today. Renew now to avoid service interruption.,1
Meeting scheduled for December 15 at 15:00 in Conference Room M. Please bring your reports.,0
Your order #ORD-2581 has been shipped and will arrive within 5 business days.,0
System maintenance is planned for December 6 from 9:00.,0
Your Apple payment failed. Update your billing information within 45 hours.,1
